9.5	4.5
9.5	13.5
9.5	22.5
9.5	31.5
9.5	40.5
9.5	49.5
9.5	58.5
9.5	67.5
18.5	4.5
18.5	13.5
18.5	22.5
18.5	31.5
18.5	40.5
18.5	49.5
18.5	58.5
18.5	67.5
27.5	4.5
27.5	13.5
27.5	22.5
27.5	31.5
27.5	40.5
27.5	49.5
27.5	58.5
27.5	67.5
36.5	4.5
36.5	13.5
36.5	22.5
36.5	31.5
36.5	40.5
36.5	49.5
36.5	58.5
36.5	67.5
45.5	4.5
45.5	13.5
45.5	22.5
45.5	31.5
45.5	40.5
45.5	49.5
45.5	58.5
45.5	67.5
54.5	4.5
54.5	13.5
54.5	22.5
54.5	31.5
54.5	40.5
54.5	49.5
54.5	58.5
54.5	67.5
63.5	4.5
63.5	13.5
63.5	22.5
63.5	31.5
63.5	40.5
63.5	49.5
63.5	58.5
63.5	67.5
72.5	4.5
72.5	13.5
72.5	22.5
72.5	31.5
72.5	40.5
72.5	49.5
72.5	58.5
72.5	67.5
81.5	4.5
81.5	13.5
81.5	22.5
81.5	31.5
81.5	40.5
81.5	49.5
81.5	58.5
81.5	67.5
90.5	4.5
90.5	13.5
90.5	22.5
90.5	31.5
90.5	40.5
90.5	49.5
90.5	58.5
90.5	67.5
99.5	4.5
99.5	13.5
99.5	22.5
99.5	31.5
99.5	40.5
99.5	49.5
99.5	58.5
99.5	67.5
108.5	4.5
108.5	13.5
108.5	22.5
108.5	31.5
108.5	40.5
108.5	49.5
108.5	58.5
108.5	67.5
